id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
18,20 Aug 13:30,1,2,2017-08-19T10:30:00Z,19 Aug 11:30,3,2,918905,2017-08-20T12:30:00Z,1,0,1,90,0,1,2,13,8
19,20 Aug 16:00,1,2,2017-08-19T10:30:00Z,19 Aug 11:30,4,4,918911,2017-08-20T15:00:00Z,1,2,1,90,0,1,2,5,17
20,21 Aug 20:00,1,3,2017-08-19T10:30:00Z,19 Aug 11:30,2,5,918908,2017-08-21T19:00:00Z,1,1,1,90,0,1,2,7,11
21,26 Aug 12:30,1,1,2017-08-26T10:30:00Z,26 Aug 11:30,5,3,918913,2017-08-26T11:30:00Z,1,2,1,90,0,1,3,11,2
22,27 Aug 13:30,1,2,2017-08-26T10:30:00Z,26 Aug 11:30,2,4,918914,2017-08-27T12:30:00Z,2,0,1,90,0,1,3,7,5
23,26 Aug 15:00,1,1,2017-08-26T10:30:00Z,26 Aug 11:30,2,3,918915,2017-08-26T14:00:00Z,0,2,1,90,0,1,3,16,6
24,26 Aug 15:00,1,1,2017-08-26T10:30:00Z,26 Aug 11:30,2,2,918916,2017-08-26T14:00:00Z,0,0,1,90,0,1,3,14,8
25,26 Aug 17:30,1,1,2017-08-26T10:30:00Z,26 Aug 11:30,3,4,918918,2017-08-26T16:30:00Z,2,0,1,90,0,1,3,9,12
26,26 Aug 15:00,1,1,2017-08-26T10:30:00Z,26 Aug 11:30,2,3,918919,2017-08-26T14:00:00Z,3,0,1,90,0,1,3,20,13
27,26 Aug 15:00,1,1,2017-08-26T10:30:00Z,26 Aug 11:30,2,3,918921,2017-08-26T14:00:00Z,0,0,1,90,0,1,3,3,18
28,27 Aug 16:00,1,2,2017-08-26T10:30:00Z,26 Aug 11:30,4,4,918917,2017-08-27T15:00:00Z,4,0,1,90,0,1,3,1,10
29,27 Aug 16:00,1,2,2017-08-26T10:30:00Z,26 Aug 11:30,3,4,918920,2017-08-27T15:00:00Z,1,1,1,90,0,1,3,4,17
30,27 Aug 13:30,1,2,2017-08-26T10:30:00Z,26 Aug 11:30,2,2,918922,2017-08-27T12:30:00Z,1,1,1,90,0,1,3,15,19
31,09 Sep 15:00,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,3,4,918923,2017-09-09T14:00:00Z,3,0,1,90,0,1,4,2,1
32,09 Sep 15:00,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,2,2,918924,2017-09-09T14:00:00Z,3,1,1,90,0,1,4,19,3
33,09 Sep 15:00,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,4,3,918926,2017-09-09T14:00:00Z,0,3,1,90,0,1,4,17,7
34,09 Sep 15:00,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,4,3,918927,2017-09-09T14:00:00Z,1,2,1,90,0,1,4,5,9
35,09 Sep 12:30,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,4,5,918928,2017-09-09T11:30:00Z,5,0,1,90,0,1,4,10,11
36,09 Sep 15:00,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,2,2,918929,2017-09-09T14:00:00Z,0,2,1,90,0,1,4,18,14
37,09 Sep 17:30,1,1,2017-09-09T10:30:00Z,09 Sep 11:30,4,2,918930,2017-09-09T16:30:00Z,2,2,1,90,0,1,4,12,15
38,10 Sep 13:30,1,2,2017-09-09T10:30:00Z,09 Sep 11:30,2,3,918925,2017-09-10T12:30:00Z,1,0,1,90,0,1,4,6,4
39,10 Sep 16:00,1,2,2017-09-09T10:30:00Z,09 Sep 11:30,3,3,918931,2017-09-10T15:00:00Z,0,1,1,90,0,1,4,13,16
40,11 Sep 20:00,1,3,2017-09-09T10:30:00Z,09 Sep 11:30,2,3,918932,2017-09-11T19:00:00Z,2,0,1,90,0,1,4,8,20
41,15 Sep 20:00,1,1,2017-09-15T18:00:00Z,15 Sep 19:00,2,3,918933,2017-09-15T19:00:00Z,2,1,1,90,0,1,5,3,2
42,16 Sep 12:30,1,2,2017-09-15T18:00:00Z,15 Sep 19:00,2,3,918935,2017-09-16T11:30:00Z,0,1,1,90,0,1,5,14,6
43,16 Sep 15:00,1,2,2017-09-15T18:00:00Z,15 Sep 19:00,3,2,918936,2017-09-16T14:00:00Z,1,1,1,90,0,1,5,9,8
44,16 Sep 15:00,1,2,2017-09-15T18:00:00Z,15 Sep 19:00,3,4,918937,2017-09-16T14:00:00Z,1,1,1,90,0,1,5,4,10
45,16 Sep 15:00,1,2,2017-09-15T18:00:00Z,15 Sep 19:00,2,3,918939,2017-09-16T14:00:00Z,2,1,1,90,0,1,5,15,13
46,16 Sep 17:30,1,2,2017-09-15T18:00:00Z,15 Sep 19:00,2,4,918940,2017-09-16T16:30:00Z,0,0,1,90,0,1,5,16,17
47,16 Sep 15:00,1,2,2017-09-15T18:00:00Z,15 Sep 19:00,5,3,918941,2017-09-16T14:00:00Z,0,6,1,90,0,1,5,11,18
