PlayerCode,PlayerLastName,Position,PlayerTeam,PearsonsCorrelation,SpearmansCorrelaction,Covariance
11334,Cech,1,Arsenal,0.0689878218528692,0.05651107961052541,27.29018492176387
51507,Koscielny,2,Arsenal,0.40620111234450945,0.49663099450003234,170.32716927453762
98745,Bellerín,2,Arsenal,0.15048303880400493,0.16731026700909135,64.04694167852062
38411,Monreal,2,Arsenal,0.5312754335878715,0.645228566452638,223.04409672830727
69140,Mustafi,2,Arsenal,0.2805369678002619,0.5074668685631579,123.07965860597439
111457,Kolasinac,2,Arsenal,0.3354128472662079,0.538096961379602,150.99573257467992
37605,Özil,3,Arsenal,0.4057826007920874,0.40261211877832936,184.5519203413941
41792,Ramsey,3,Arsenal,0.4249097124199277,0.5143260947050857,215.0071123755334
153133,Iwobi,3,Arsenal,0.45470910766733424,0.5975041275885739,134.11095305832143
84450,Xhaka,3,Arsenal,0.0720593092653172,0.22313047713029427,16.52204836415363
57249,Mkhitaryan,3,Arsenal,0.4920626937836759,0.585580256669639,206.33001422475107
154043,Maitland-Niles,3,Arsenal,0.5847959232909776,0.592052709385317,47.90184921763868
50175,Welbeck,4,Arsenal,0.4332625293334998,0.6737590023077004,137.01280227596013
59966,Lacazette,4,Arsenal,0.30276534546166683,0.42084375935336205,134.80796586059745
54694,Aubameyang,4,Arsenal,0.8050269909959843,0.807683444159223,281.6216216216216
40349,Begovic,1,Bournemouth,0.16644144568111108,0.14844496444329017,46.81365576102418
15149,Francis,2,Bournemouth,-0.022717808647623204,-0.06008704654580176,-4.637268847795167
56917,Cook,2,Bournemouth,0.20122493423566576,0.13089480817932303,67.36842105263155
41320,Daniels,2,Bournemouth,-0.0053736455508721455,-0.008081366648080391,-1.4082503556187749
54469,Smith,2,Bournemouth,0.08264796461550507,0.03178943101682945,15.462304409672836
126184,Aké,2,Bournemouth,0.12874682153509506,0.22032830449540103,44.48790896159316
20037,Pugh,3,Bournemouth,-0.13430847952871078,-0.09137096785398398,-5.91749644381223
15237,Surman,3,Bournemouth,0.11973193537829052,0.13966269177161914,29.907539118065433
56872,Stanislas,3,Bournemouth,-0.04805403369708156,-0.08709354528119331,-13.449502133712661
