PlayerCode,PlayerLastName,Position,PlayerTeam,PearsonsCorrelation,SpearmansCorrelaction,Covariance
11334,Cech,1,Arsenal,0.10722795910827447,0.15579132673907833,41.08819345661452
51507,Koscielny,2,Arsenal,0.43977637448766277,0.5615943545446422,177.624466571835
98745,Bellerín,2,Arsenal,0.17038474821848165,0.22122687993158174,69.35277382645802
38411,Monreal,2,Arsenal,0.555911799017999,0.6947955654507042,236.1166429587482
69140,Mustafi,2,Arsenal,0.32828452988871976,0.53409105232165,143.421052631579
111457,Kolasinac,2,Arsenal,0.37293134583994175,0.5867751564490885,167.46799431009956
37605,Özil,3,Arsenal,0.4581110316909039,0.4430963430990822,413.456614509246
41792,Ramsey,3,Arsenal,0.4295643726253723,0.5180718537960465,444.94310099573255
153133,Iwobi,3,Arsenal,0.47801959985709774,0.6029773791712124,283.72688477951635
84450,Xhaka,3,Arsenal,0.04353908797577283,0.16301683362226035,19.77240398293029
57249,Mkhitaryan,3,Arsenal,0.46373028769876984,0.6747161078906035,387.92318634423907
154043,Maitland-Niles,3,Arsenal,0.6067217535981323,0.5933859297732071,94.38833570412517
50175,Welbeck,4,Arsenal,0.45544896304909327,0.6756443620190676,133.15078236130861
59966,Lacazette,4,Arsenal,0.26551446118074346,0.38863232858362656,115.7610241820768
54694,Aubameyang,4,Arsenal,0.8138488033846303,0.8085653872080973,280.0
40349,Begovic,1,Bournemouth,0.17422989246414175,0.1925322498703099,47.795163584637265
15149,Francis,2,Bournemouth,-0.030548147962181967,-0.07547584686846816,-6.3869132290184965
56917,Cook,2,Bournemouth,0.1891778901152146,0.19454266853914612,62.802275960170725
41320,Daniels,2,Bournemouth,-0.035857982837955715,-0.02996069274238156,-9.246088193456616
54469,Smith,2,Bournemouth,-0.01710602038051511,-0.0012044216597959846,-3.07254623044097
126184,Aké,2,Bournemouth,0.07026859017542605,0.18575568234791753,23.741109530583206
20037,Pugh,3,Bournemouth,-0.2676861204338429,-0.17227917476966093,-26.34423897581792
15237,Surman,3,Bournemouth,0.02684492572566105,-0.05246476829860118,14.736842105263158
56872,Stanislas,3,Bournemouth,-0.19074342465360214,-0.4237068261420107,-117.75248933143668
40387,Gosling,3,Bournemouth,-0.20368180316065482,-0.5103661109630667,-98.3783783783784
103912,Ibe,3,Bournemouth,-0.30224611307614335,-0.2223760810343979,-138.89758179231862
155408,Cook,3,Bournemouth,-0.30817232582050413,-0.43490469948970467,-81.50782361308674
90105,Fraser,3,Bournemouth,-0.25081090448550786,-0.4462295840080473,-149.4950213371266
75115,Wilson,4,Bournemouth,-0.33555322195066656,-0.3783886468623442,-121.05263157894737
78007,King,4,Bournemouth,0.009249768536346747,-0.15308705110487691,2.1763869132290248
7958,Defoe,4,Bournemouth,-0.24833151246103116,-0.7801092246657637,-49.07539118065433
131897,Ryan,1,Brighton,0.07401822152770472,0.015922847246959675,25.718349928876243
83299,Dunk,2,Brighton,0.08516976216055826,0.23226952076194646,27.553342816500695
61933,Duffy,2,Brighton,0.06699411411638641,0.08716847530769391,19.89331436699857
11352,Saltor Grau,2,Brighton,-0.2348352954249144,-0.36974165334555587,-67.69559032716927
42748,Bong,2,Brighton,-0.06371449623023483,-0.1505240314229662,-16.458036984352766
43808,Suttner,2,Brighton,-0.198628177047522,-0.43037404486530484,-31.529160739687065
74375,Schelotto,2,Brighton,-0.08148258134629278,-0.2014425572744256,-5.277382645803696
83543,Knockaert,3,Brighton,-0.11332754314974632,-0.3044159664028035,-56.785206258890476
40845,Stephens,3,Brighton,0.1328607423608312,0.11512134010174674,44.608819345661445
109345,March,3,Brighton,-0.12315445994354939,-0.1837143465672125,-42.36130867709816
60307,Groß,3,Brighton,-0.18265380213239024,-0.252546900148052,-165.74679943100995
66242,Pröpper,3,Brighton,-0.05670199200398247,-0.0497659292637166,-18.549075391180654
167473,Izquierdo Mena,3,Brighton,-0.2970241494374277,-0.38657827936706124,-155.67567567567568
20529,Murray,4,Brighton,-0.16279977723615233,-0.1579713109403392,-54.694167852062584
98747,Pope,1,Burnley,0.17654528125561517,0.09671939310778288,59.089615931721184
68983,Lowton,2,Burnley,-0.1558740912822476,-0.21671632140169472,-32.68847795163583
51927,Mee,2,Burnley,0.1930504598854622,0.22976671286449651,53.01564722617354
40616,Ward,2,Burnley,-0.02787961908137597,-0.1408081931263326,-7.083926031294457
17761,Tarkowski,2,Burnley,0.23470280814474273,0.17684842369795692,58.07254623044098
41674,Long,2,Burnley,-0.20996593863611646,-0.30191865154096115,-41.877667140825025
103914,Taylor,2,Burnley,-0.08268434731934883,-0.008586054717739402,-9.729729729729733
17997,Bardsley,2,Burnley,0.051180418279435314,0.007307012773407348,7.283072546230445
60586,Gudmundsson,3,Burnley,-0.20777998428572445,-0.1058575927997744,-106.65718349928876
39847,Defour,3,Burnley,-0.16540129608440546,-0.04514321933113835,-54.3954480796586
83314,Hendrick,3,Burnley,0.0706925013560726,0.07995760948873402,31.37980085348506
90517,Brady,3,Burnley,-0.16971155613427777,-0.19758353647508134,-67.55334281650069
60551,Westwood,3,Burnley,-0.09580958087624332,-0.20376423001580363,-10.38406827880512
40145,Cork,3,Burnley,0.21837264487408728,0.32234443236992033,105.26315789473684
17349,Lennon,3,Burnley,0.1882270165763808,0.0901967498082218,43.76244665718349
40399,Vokes,4,Burnley,-0.38268907803561764,-0.24489529999357734,-48.904694167852064
44699,Barnes,4,Burnley,0.14730294908142902,0.2778217824116388,35.23470839260314
60689,Wood,4,Burnley,0.10371353696726543,0.1939863004537341,17.290184921763863
