PlayerCode,PlayerLastName,Position,PlayerTeam,Value,Minutes,TotalPoints,Round,BigChancesMissed,TransfersBalance,ErrorsLeadingToGoal,ClearancesBlocksInterceptions,PenaltiesConceded,BigChancesCreated,ErrorsLeadingToGoalAttempt,Bonus,GoalsScored,EaIndex,TransfersIn,GoalsConceded,Creativity,RedCards,YellowCards,TeamHomeScore,TeamAwayScore,Threat,PenaltiesMissed,Bps,LoanedIn,Saves,OpenPlayCrosses,Recoveries,OwnGoals,Influence,IctIndex,TransfersOut,LoanedOut,CleanSheets,PenaltiesSaved,Selected,Assists,Tackled,Offside,TargetMissed,KeyPasses,CompletedPasses,Tackles,Fouls,AttemptedPasses,WinningGoals,Dribbles
11334,Cech,1,Team [name=Arsenal],0.2547749574715109,0.271249623972044,0.16630142631602357,-0.04978788924579611,0.24565321369337345,0.24565321369337345,0.21961629586968245,0.28682206356294454,0.24565321369337345,0.24565321369337345,0.25060884597492966,0.21616019546853965,0.24565321369337345,0.24565321369337345,0.03830242029276609,0.22415122390285042,0.24565321369337345,0.24565321369337345,0.25060884597492966,0.24565321369337345,0.24565321369337345,0.24565321369337345,0.24565321369337345,0.14415465826180685,0.24565321369337345,0.17668341967328138,0.24565321369337345,0.11081220316217304,0.24565321369337345,0.07033507746765466,0.20302721010925598,0.35771247310824145,0.24565321369337345,0.23772805663083788,0.24550494235342876,0.2308136244890169,0.24565321369337345,0.24606410238768822,0.24565321369337345,0.24565321369337345,0.24565321369337345,0.1883198454068282,0.24565321369337345,0.24565321369337345,0.26926196797594537,0.24565321369337345,0.2664333948915253
80201,Leno,1,Team [name=Arsenal]
51507,Koscielny,2,Team [name=Arsenal],0.21227556657981753,0.023671804316458944,-0.01674962645963704,-0.2905114228584057,0.20465913842511893,0.21233490703996355,0.21233490703996355,0.07965056688586286,0.21233490703996355,0.21233490703996355,0.19266001394648324,0.10759511998931406,0.18937955141442653,0.21233490703996355,-0.16518235867016395,0.21999151810576215,0.012306327915938402,0.21233490703996355,0.21136219023127853,0.21233490703996355,0.21233490703996355,-0.0979795789498767,0.21233490703996355,0.07356784276673073,0.21233490703996355,0.21233490703996355,0.22492980398725246,0.255197088963105,0.21233490703996355,-0.04233060948962988,0.05657354536285936,-0.15762287728483387,0.21233490703996355,0.20396753301929027,0.21233490703996355,-0.34426465729988476,0.21233490703996355,0.17741509659928878,0.22664219512776593,0.18381005296842576,0.18552085468936652,0.12328739885531703,0.2830684970505367,0.1839155028614821,0.11375409259596253,0.22344801705224307,0.19830323545299058
98745,Bellerín,2,Team [name=Arsenal],0.2817281900345153,0.2597905970227639,0.22717807120046302,0.1500943137488177,0.24984662037555774,0.2743944193577435,0.28349821673292397,0.24377430790915716,0.29487389236624423,0.2531900142095606,0.26348979267681755,0.24891695138687858,0.26945063919350604,0.2743944193577435,-0.22608246263245796,0.230552170758428,0.05860078036855286,0.2743944193577435,0.23244494984297795,0.2743944193577435,0.2743944193577435,-0.046398732281870324,0.2743944193577435,0.11209217626822593,0.2743944193577435,0.2743944193577435,0.29617696577508806,0.1995830517888283,0.2743944193577435,-0.023136340081902493,0.10619284518203578,0.4096037665474441,0.2743944193577435,0.2768257427358218,0.2743944193577435,0.2645216592635292,0.2701193895582589,0.258564147131475,0.2782898596129007,0.31419373572229,0.22984475722781436,0.014466911861395643,0.16973619690815409,0.26014698900694555,0.034999879035005454,0.28349821673292397,0.25159493720418985
38411,Monreal,2,Team [name=Arsenal],0.18508575479148712,0.3107911839174291,0.25343837274512176,-0.02257220547741848,0.2034743244447752,0.2034743244447752,0.20347335614269524,0.1480038472091284,0.1921035776906494,0.17642380334017155,0.21329480321486388,0.2163593262054784,0.22235592679869365,0.2034743244447752,0.1757112760473472,0.27752536290665597,0.1678341355980807,0.2034743244447752,0.1704601920960413,0.2034743244447752,0.2034743244447752,0.3478961352675726,0.2034743244447752,0.30254158898787026,0.2034743244447752,0.2034743244447752,0.20404582047482359,0.2826983275460738,0.2034743244447752,0.32445874895412635,0.33038604787178594,-0.21473852138576133,0.2034743244447752,0.22132938294215615,0.2034743244447752,-0.026137371521867868,0.1869135122880324,0.21816459562473559,0.22351511279513342,0.1666200733618322,0.1755971507778845,0.423725945533806,0.23073783865778716,0.1745659669433408,0.3991782087405494,0.22831983228594627,0.21216563321459359
156074,Holding,2,Team [name=Arsenal],0.07645944583651047,-0.10034911477077436,0.055157027539189774,0.34390382027826566,0.10861289611881043,0.10861289611881043,0.10861289611881043,0.02894879124643778,0.10861289611881043,0.10861289611881043,0.10319385703973878,0.10861289611881043,0.10861289611881043,0.10861289611881043,-0.10033852460028737,0.07073737615800607,-0.01940036333784415,0.10861289611881043,0.09772700072633712,0.10861289611881043,0.10861289611881043,0.0014654569340246664,0.10861289611881043,-0.08000130070825025,0.10861289611881043,0.10861289611881043,0.10861289611881043,-0.005228104896877602,0.10861289611881043,-0.05080477250025245,0.05158089519209605,-0.17735094850391941,0.10861289611881043,0.10310946227091568,0.10861289611881043,-0.10246351303225398,0.10367356490219647,0.1045618312586938,0.10861289611881043,0.10861289611881043,0.09606678453449273,-0.10182183791437663,0.09195245218619365,0.09366900121827869,-0.10475018987983412,0.10258327226788584,0.09825632065366717
69140,Mustafi,2,Team [name=Arsenal],0.2064674828325546,0.17324729635342614,0.11757851771964532,0.03989023474607122,0.20355561285616325,0.20355561285616325,0.19594848200210374,0.06325518054861516,0.20355561285616325,0.19250032213185028,0.20355561285616325,0.1821889349708963,0.22225180763788766,0.20355561285616325,-0.13161340030932797,0.2677408483511515,0.37920797603454426,0.20355561285616325,0.17697075214157054,0.20355561285616325,0.20355561285616325,0.0912640535473307,0.20355561285616325,0.054049151941385085,0.20355561285616325,0.20355561285616325,0.23974911678056168,0.0984593033142317,0.20355561285616325,0.1676152188517471,0.2337411173194178,0.06500917618422826,0.20355561285616325,0.16720188149063073,0.20355561285616325,0.014901930348718749,0.19249875330770186,0.19142404970691393,0.22806266295161504,0.23344123102838937,0.23244588061898286,0.16827235086697423,0.13984239962533782,0.15962840407217016,0.17316419907470232,0.196119395929633,0.19564270653895144
111457,Kolasinac,2,Team [name=Arsenal],0.1553554703233226,0.0755746716138139,0.13299976640130012,0.12224401416293885,0.16803685127557302,0.1738629178374411,0.1738629178374411,0.2601044848547623,0.1738629178374411,0.18258675444917297,0.1738629178374411,0.20998507967737304,0.16803135087094076,0.1738629178374411,-0.18419787179562813,0.17859773239785964,0.16199843458187313,0.1738629178374411,0.19374613379051409,0.1738629178374411,0.1738629178374411,-0.13530900887428945,0.1738629178374411,0.14944889426387534,0.1738629178374411,0.1738629178374411,0.22209875691039568,0.16945714977512943,0.1738629178374411,0.16562915817319404,0.11117139985299226,0.07909312545804494,0.1738629178374411,0.1675037684336754,0.1738629178374411,-0.13916413232754582,0.19090844316847827,0.1818676604225084,0.1645688911014801,0.14360133021805982,0.19044678624251427,0.14715170450247173,0.21575872180920563,0.2315578170394103,0.1373343597192858,0.1738629178374411,0.18055779284641746
233963,Mavropanos,2,Team [name=Arsenal],-0.032101611952656706,0.1866625946193893,0.18662435944373473,-0.010063089099569258,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662769064452406,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,-0.07463935161002581,0.18662454052415298,0.18662396413245985,0.1866237505078922,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18663284863597931,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.1866259394752394,0.18662379329334647,0.18663631410310572,0.18662506289545452,0.07517428285291312,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.022944343551133718,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.18662379329334647,0.1866383358382227,0.1866242310874193,0.1866237505078922,0.1866395636127048,0.18662379329334647,0.1866242310874193
27335,Lichtsteiner,2,Team [name=Arsenal]
