PlayerCode,PlayerLastName,Position,PlayerTeam,PearsonsCorrelation,SpearmansCorrelaction,Covariance
11334,Cech,1,Arsenal,-0.19780464138067422,0.0010074056015790703,-1.2282248557290814
51507,Koscielny,2,Arsenal,-0.21429274969875034,-0.1620493551307817,-1.5088560493412462
98745,Bellerín,2,Arsenal,-0.17647447838675737,-0.03368236855843055,-1.5501439244878572
38411,Monreal,2,Arsenal,-0.1150844700217777,0.004432000331282542,-1.1837799249956598
156074,Holding,2,Arsenal,-0.10890491923699226,-0.2277787019470063,-0.01571823949165415
69140,Mustafi,2,Arsenal,-0.1099168249921509,-0.08397514228566381,-0.9115815958757296
111457,Kolasinac,2,Arsenal,-0.014637902136992684,0.3026390546352607,-0.10442239515830039
233963,Mavropanos,2,Arsenal,0.3292968209817303,0.36960803945033316,0.11623653728916886
37605,Özil,3,Arsenal,0.27648260207726166,0.20330804310783934,1.3191974451653268
41792,Ramsey,3,Arsenal,-0.04966172410950682,0.11913042092347827,-0.46439938620585575
153133,Iwobi,3,Arsenal,0.09967546837848708,0.16224468078665336,0.1494953748147279
153256,Elneny,3,Arsenal,-0.09298481677999926,-0.08831106637381947,-0.11559567952340248
84450,Xhaka,3,Arsenal,0.09656786469923075,0.08175450624900668,0.1614753960505057
57249,Mkhitaryan,3,Arsenal,-0.02296445683126946,0.2751699993105794,-0.042220171941278015
200641,Nelson,3,Arsenal,0.02638717227235984,0.06258451422740618,0.001964471043418411
154043,Maitland-Niles,3,Arsenal,-0.10625734677773777,0.09548902803507335,-0.031960084002641595
50175,Welbeck,4,Arsenal,-0.1354360165710585,-0.2244783588491439,-0.5457361409259708
59966,Lacazette,4,Arsenal,-0.20812838011942394,-0.008660907757271463,-3.0945187026313663
54694,Aubameyang,4,Arsenal,0.6750611609760596,0.8347353884321007,3.98630670143828
40349,Begovic,1,Bournemouth,-0.07375444542004718,0.1878042158649992,-0.045707967892995874
18726,Boruc,1,Bournemouth,NaN,NaN,0.0
15149,Francis,2,Bournemouth,0.22427240034662663,0.022151748189016687,0.07768261411359216
56917,Cook,2,Bournemouth,0.08381424367690359,0.21265802740532647,0.05054778333655002
41320,Daniels,2,Bournemouth,-0.10340593204794732,0.13131218267770933,-0.08973955313289696
54469,Smith,2,Bournemouth,-0.16915481192018855,-0.035522159808255904,-0.016703427800250345
149484,Mings,2,Bournemouth,0.11065404496337887,0.09872372574089842,0.002787065550701656
126184,Aké,2,Bournemouth,-0.07581126686401478,0.014284310297519375,-0.052693727633358924
222434,Simpson,2,Bournemouth,NaN,NaN,0.0
20037,Pugh,3,Bournemouth,0.06627024053651157,0.032619317959515906,0.002249008153279044
15237,Surman,3,Bournemouth,0.06526626200026749,0.16656880883054087,0.013685450493944734
56872,Stanislas,3,Bournemouth,0.22197840301280353,0.23929855514914733,0.5881660843318227
40387,Gosling,3,Bournemouth,-0.10563024638769515,0.1266935052776744,-0.03920480885264468
103912,Ibe,3,Bournemouth,-0.00326766036404967,0.25840633938906915,-0.006314753236416236
155408,Cook,3,Bournemouth,-0.02788898203946068,0.03295011043218613,-0.006483124115203293
90105,Fraser,3,Bournemouth,-0.2504246603610539,-0.2782363038993565,-0.10742514090862955
122342,Hyndman,3,Bournemouth,0.21444523306723023,0.26131851827894587,0.0018901597848966273
75115,Wilson,4,Bournemouth,0.0379906300612713,0.10261050787497414,0.030263966108615682
178304,Mousset,4,Bournemouth,-0.020307560751592096,0.11530885187920133,-0.005905717189883446
78007,King,4,Bournemouth,0.10747130583953778,0.09509276185204858,0.10392254195971547
7958,Defoe,4,Bournemouth,0.07572124785580447,-0.08987514933632074,0.015782069419580238
131897,Ryan,1,Brighton,-0.10727344043587057,0.01332036378668969,-0.2611881788037006
83299,Dunk,2,Brighton,-0.13614600626477014,-0.06960552239387731,-0.25755224985902786
61933,Duffy,2,Brighton,0.044362972128892744,0.18237177245181432,0.06424586963430043
11352,Saltor Grau,2,Brighton,-0.18070523861403098,-0.0486800774361872,-0.39734265454511136
42748,Bong,2,Brighton,-0.022403465751513228,0.1851818231826555,-0.03566442730662492
43808,Suttner,2,Brighton,0.06739054167589956,0.04768770498799716,0.0031076655269108152
74375,Schelotto,2,Brighton,0.20431706317745887,0.3510312181757393,0.0159065886683645
83543,Knockaert,3,Brighton,-0.2334352356366382,-0.21847647287391447,-0.16160385104741576
40845,Stephens,3,Brighton,0.019103444350303325,0.14047638424609396,0.007502091849506191
38490,Kayal,3,Brighton,0.11673385352341288,0.2337739782392137,0.0162729223774034
109345,March,3,Brighton,-0.1679906921612538,-0.035561172868354196,-0.04753585239816975
60307,Groß,3,Brighton,-0.1401924008277503,-0.1890682474218526,-0.3871183698192647
66242,Pröpper,3,Brighton,-0.10132779939575058,-0.23834492400291626,-0.04046087381588464
167473,Izquierdo Mena,3,Brighton,-0.0308747314008116,0.1439052855253277,-0.04554481508350613
20529,Murray,4,Brighton,-0.058354306173504504,0.12059811754242827,-0.03096578471620666
38499,Hemed,4,Brighton,-0.06110766218479616,0.1620312515285329,-0.012907047809900929
28462,Baldock,4,Brighton,0.1794080799115693,0.09434920791437386,0.0016026578567236603
106757,Locadia,4,Brighton,0.10551819151018221,0.4303343180043753,0.06655966351690036
21205,Heaton,1,Burnley,-0.01197644787568724,-0.09095552553568188,-1.0348861384752138E-6
98747,Pope,1,Burnley,-0.2763423070901682,-0.2578109226614165,-0.13677695734227363
68983,Lowton,2,Burnley,-0.24211316036188527,-0.2972857218390037,-0.057903939953555035
