PlayerCode,PlayerLastName,Position,PlayerTeam,Value,Minutes,TotalPoints,Round,LoanedIn,TransfersIn,LoanedOut,TransfersOut,GoalsConceded,GoalsScored,Assists,CleanSheets,PenaltiesSaved,OwnGoals,Dribbles,Creativity,Tackled,YellowCards,CompletedPasses,TeamHomeScore,IctIndex,Saves,Selected,KeyPasses,WinningGoals,Recoveries,Offside,Influence,EaIndex,OpenPlayCrosses,AttemptedPasses,PenaltiesMissed,Bonus,TeamAwayScore,Bps,TargetMissed,Tackles,Threat,RedCards,Fouls,PenaltiesConceded,BigChancesCreated,ErrorsLeadingToGoal,ErrorsLeadingToGoalAttempt,ClearancesBlocksInterceptions,TransfersBalance,BigChancesMissed
11334,Cech,1,Team [name=Arsenal],0.07545663144570912,0.23537902019649884,-0.04291294533272778,-0.16401936968656006,0.16122470708585024,-0.17620035246025653,0.16122470708585024,0.33483181892749475,0.2193865988881037,0.16122470708585024,0.16122470708585024,0.07218213217071606,0.12908268857302094,0.16122470708585024,0.1863389793688857,0.16122470708585024,0.20042020950889675,0.13361347300593115,0.05009033160618966,0.16122470708585024,0.04355063650827938,0.057028607537150715,0.08369558104005044,0.16122470708585024,0.16122470708585024,0.11833986282434573,0.16122470708585024,-0.02601607355581481,0.16122470708585024,0.16122470708585024,0.17272518097052075,0.16122470708585024,0.011785381239818624,0.16122470708585024,-0.024768155558660306,0.16122470708585024,0.16122470708585024,0.16122470708585024,0.16122470708585024,0.16122470708585024,0.16122470708585024,0.16122470708585024,0.15011329641344368,0.13361347300593115,0.20605339657592864,0.16122470708585024,0.16122470708585024
80201,Leno,1,Team [name=Arsenal]
51507,Koscielny,2,Team [name=Arsenal],0.08806183710630444,0.2514333410041081,0.19633964107629934,-0.22708074366142014,0.1403779017900195,0.022852664528855152,0.1403779017900195,0.03838634674686393,0.07075117138417028,0.08906792521717827,0.1403779017900195,0.21401246976987084,0.1403779017900195,0.1403779017900195,0.17691997642839014,0.4297958796878292,0.22285157415500584,0.17576671552938483,0.3660174663303594,0.1403779017900195,0.17468388303939036,0.1403779017900195,-0.12907208862774028,0.3253365003707325,0.08872900728252461,0.3128370531634191,0.09613431138045885,0.174969780938273,0.1403779017900195,0.12816644205929037,0.3460494460377301,0.1403779017900195,0.26315318383242825,0.1403779017900195,0.23111051052693707,0.11882962287111487,0.07663359343137807,-0.18451124508745975,0.1403779017900195,0.21478593090396014,0.1403779017900195,0.1403779017900195,0.1403779017900195,0.09854208203685375,0.24181279919796808,0.1403779017900195,0.1906040460606047
98745,Bellerín,2,Team [name=Arsenal],0.061912215439502545,0.07821602494973405,-0.16715898328570164,-0.05462073059676931,0.17324990837171458,-0.16739510217390333,0.17324990837171458,-0.05379747403258965,0.3556105149563607,0.11800825842709334,0.1757112958832237,0.07449086293332527,0.17324990837171458,0.17324990837171458,0.13051503128771424,0.06840079248855162,0.1235312230160601,0.16947188568751348,0.07690683901957873,0.17324990837171458,0.08087708702990733,0.17324990837171458,-0.043477856400153676,0.12266145417647677,0.24795604957778636,0.034785064050002264,0.18904009705011424,-0.03371395028577039,0.17324990837171458,0.2649373215339138,0.09581442670627163,0.17324990837171458,0.07617534772785946,0.17324990837171458,-0.03587762767615357,0.1827071727394486,0.15765490627956918,0.10849231399893093,0.17324990837171458,0.1175380875485617,0.1526500072363574,0.25266931237014273,0.24795604957778636,0.16878245987169954,0.13549711977243,0.17324990837171458,0.19588992344923123
38411,Monreal,2,Team [name=Arsenal],0.19432783230519435,0.06148003379816568,-0.10697033747870016,-0.12993766768936246,0.16175347820248265,-0.18919511229938338,0.16175347820248265,0.34811453644776486,0.22070307798724093,0.06759518956387456,0.1010397389312997,0.14944941920197827,0.16175347820248265,0.16175347820248265,0.09701158795914486,-0.027915089982218363,0.1281893697212586,0.09713274292212955,0.028092169372934205,0.16175347820248265,-0.08825729060433998,0.16175347820248265,-0.0762635336123115,0.1258286412861574,0.22069376382188213,0.12044327330941967,0.14086372812070058,-0.10497160335204798,0.16175347820248265,0.06379568708323051,0.05120188110048046,0.16175347820248265,0.01864736301765056,0.16175347820248265,-0.008060130132790125,0.17624196415311955,0.18648711664039344,-0.1628894063636345,0.16175347820248265,0.03145132348042777,0.1518336671225487,0.1333036768218432,0.15373395634662637,0.25244249940040236,0.14336969411573128,0.16175347820248265,0.16175347820248265
156074,Holding,2,Team [name=Arsenal],0.04044507158610709,0.2929256221639023,-0.07564707731356186,0.11183181303769409,0.07248362945569918,-0.17794675784695402,0.07248362945569918,0.2851657318163252,0.35756899101918044,0.07248362945569918,0.05045240525280852,0.05673190540780238,0.07248362945569918,0.07248362945569918,0.13264186162459318,-0.05143262502097531,0.17953996136599198,0.1470769349749024,0.31826330555102345,0.07248362945569918,0.2066432161922075,0.07248362945569918,0.12746538209152647,0.03923009920343247,0.15346712726379388,0.3484081000829676,0.07248362945569918,0.1597065606691001,0.07248362945569918,0.07248362945569918,0.3414593105748097,0.07248362945569918,0.07248362945569918,0.07248362945569918,0.13542502845387216,0.07248362945569918,0.2116917449949207,0.5261482302014459,0.07248362945569918,0.23076578320758365,0.07248362945569918,0.07248362945569918,0.07248362945569918,0.15219178737447794,0.12684731422440262,0.07248362945569918,0.07248362945569918
69140,Mustafi,2,Team [name=Arsenal],0.04100281631672806,-0.26704629769872174,-0.3289493161789215,-0.026533818324515023,0.11762624613895416,-0.43555304472743456,0.11762624613895416,0.3018644052450387,0.07590530910553912,0.06280436968522812,0.17845560684635153,-0.11481243569519402,0.11762624613895416,0.11762624613895416,0.09505675540559405,0.0072866961836802495,0.02671564718410359,0.14209766743809532,-0.2830943587638362,0.11762624613895416,-0.2194082890446784,0.11762624613895416,-0.10859720220726829,0.13468293384024765,0.08051906703856161,-0.21423619617126605,0.11503372609649845,-0.24935258116883835,0.11762624613895416,0.11562201615798876,-0.26755022228601566,0.11762624613895416,-0.06189409724616735,0.11762624613895416,-0.3291708926715797,0.16941995866069806,0.07755578096429906,-0.28670699214728534,0.11762624613895416,-0.07153345715724302,0.11762624613895416,0.19861479438098506,0.026970669016101262,0.11762624613895416,-0.2645491084310386,0.11762624613895416,0.11762624613895416
111457,Kolasinac,2,Team [name=Arsenal],0.02450437828315667,0.2644752998335179,0.26600505525683077,-0.15194165604728643,0.11728752949252196,0.08656039267902013,0.11728752949252196,-0.11580074520211342,0.20307838510502665,0.1817053629100537,0.1452344292958354,0.12363802261816362,0.11728752949252196,0.11728752949252196,0.11291840418255332,0.0770893001715258,0.24820404039716737,0.06790656014388538,0.39886668236559236,0.11728752949252196,0.19880616900004147,0.11728752949252196,-0.0740312265968612,0.06043636781212382,0.11728752949252196,0.2610225110172567,0.11924414440972243,0.3011037737890664,0.11728752949252196,0.017911084720711463,0.37605677931529463,0.11728752949252196,0.2656038259924658,0.11728752949252196,0.24374041868886948,0.14724028644149406,0.19357716833965766,0.13693836115464017,0.11728752949252196,0.2824232390195572,0.11728752949252196,0.12638326852070136,0.11728752949252196,0.11728752949252196,0.1693054487930762,0.11728752949252196,0.08233524256861817
233963,Mavropanos,2,Team [name=Arsenal],0.12707285291229287,0.5755291649696544,0.2500782468443506,0.20404787926082904,0.23850289358723953,-0.058911770607510114,0.23850289358723953,0.028504849647447494,0.2531064601185535,0.23850289358723953,0.23850289358723953,0.23850289358723953,0.23850289358723953,0.23850289358723953,0.24737572718483777,0.2419758690370075,0.23850289358723953,0.23850289358723953,0.4484489896926014,0.23850289358723953,0.26388341159379736,0.23850289358723953,0.24670043926865676,0.23850289358723953,0.23850289358723953,0.28047253585686965,0.23850289358723953,0.43907391549711894,0.23850289358723953,0.23850289358723953,0.45682519366548446,0.23850289358723953,0.23850289358723953,0.23850289358723953,0.4015163775368134,0.23850289358723953,0.24737572718483777,0.23850289358723953,0.23759728901755087,0.23759728901755087,0.23850289358723953,0.23850289358723953,0.23850289358723953,0.23850289358723953,0.3123579590768392,0.23850289358723953,0.23850289358723953
27335,Lichtsteiner,2,Team [name=Arsenal]
